date,daily_total_pnl,daily_avg_pnl,daily_pnl_volatility,daily_trade_count,daily_volume,daily_avg_trade_size,daily_avg_leverage,daily_max_leverage,daily_winning_trades,daily_win_rate,daily_avg_abs_pnl,value_first,classification_first,risk_adjusted_pnl,date_dt,sentiment_lag1,sentiment_lag2,sentiment_change,next_day_pnl,next_day_volume
2024-09-09,0.0,0.0,0.0,2,4014.4300000000003,2007.2150000000001,0.0019321133674653499,0.0025641426172284,0,0.0,0.0,26.0,Fear,0.0,2024-09-09,29.0,22.0,-3.0,-219.729659,2547.28
2024-09-10,-219.729659,-73.24321966666666,96.08066367806516,3,2547.28,849.0933333333334,133.3335276274042,200.0,0,0.0,73.24321966666666,33.0,Fear,-2.263372031825599,2024-09-10,26.0,29.0,7.0,0.0,0.54
2024-09-11,0.0,0.0,,1,0.54,0.54,1.5054014716406693e-05,1.5054014716406693e-05,0,0.0,0.0,37.0,Fear,,2024-09-11,33.0,26.0,4.0,0.0,1014.8000000000001
2024-09-14,0.0,0.0,0.0,11,1014.8000000000001,92.25454545454546,0.00010341589056295633,0.0004184540987141,0,0.0,0.0,50.0,Neutral,0.0,2024-09-14,37.0,33.0,13.0,-878.684794,13633.5
2024-09-18,-878.684794,-6.059895131034483,4.966129290375059,145,13633.5,94.02413793103449,0.1341548103011408,3.048594205741519,0,0.0,6.059895131034483,45.0,Neutral,-147.27887231970493,2024-09-18,50.0,37.0,-5.0,0.0,1521.8700000000001
2024-09-19,0.0,0.0,0.0,19,1521.8700000000001,80.09842105263158,0.3584435376859594,3.085453944676279,0,0.0,0.0,49.0,Neutral,0.0,2024-09-19,45.0,50.0,4.0,9585.03428,332873.38
2024-09-20,9585.03428,599.0646425,2004.9515901146353,16,332873.38,20804.58625,80.52348675678738,200.0,8,0.5,599.3008625,54.0,Neutral,4.7782979047127645,2024-09-20,49.0,45.0,5.0,36165.56933,165648.12
2024-09-21,36165.56933,1572.416057826087,1429.8114770090967,23,165648.12,7202.092173913044,0.62278399448775,4.291697933982427,23,1.0,1572.416057826087,54.0,Neutral,25.2762644912514,2024-09-21,54.0,49.0,0.0,0.0,19999.739999999998
2024-09-22,0.0,0.0,0.0,3,19999.739999999998,6666.579999999999,200.0,200.0,0,0.0,0.0,52.0,Neutral,0.0,2024-09-22,54.0,54.0,-2.0,334.760796,40334.29
2024-09-23,334.760796,167.380398,236.7116289270065,2,40334.29,20167.145,200.0,200.0,1,0.5,167.380398,50.0,Neutral,1.4082642801745058,2024-09-23,52.0,54.0,-2.0,0.0,7118.63
2024-09-24,0.0,0.0,0.0,10,7118.63,711.863,0.4454652068518694,3.193250758215325,0,0.0,0.0,54.0,Neutral,0.0,2024-09-24,50.0,52.0,4.0,0.0,52754.130000000005
2024-09-25,0.0,0.0,0.0,9,52754.130000000005,5861.570000000001,133.3667990979407,200.0,0,0.0,0.0,59.0,Greed,0.0,2024-09-25,54.0,50.0,5.0,439.812513,113711.93000000001
2024-09-26,439.812513,54.976564125,154.20271831132595,8,113711.93000000001,14213.991250000001,57.54847028997947,200.0,2,0.25,54.976564125,50.0,Neutral,2.8337938780026164,2024-09-26,59.0,54.0,-9.0,0.0,126097.04
2024-09-27,0.0,0.0,0.0,56,126097.04,2251.732857142857,35.73732612690509,200.0,0,0.0,0.0,61.0,Greed,0.0,2024-09-27,50.0,59.0,11.0,0.0,29199.21
2024-09-28,0.0,0.0,0.0,4,29199.21,7299.8025,0.2747256439628888,0.5603283317458617,0,0.0,0.0,64.0,Greed,0.0,2024-09-28,61.0,50.0,3.0,2710.626288,214669.85
2024-09-30,2710.626288,25.571946113207545,133.6657057863591,106,214669.85,2025.1872641509435,17.152795323201413,200.0,5,0.04716981132075472,25.571946113207545,61.0,Greed,20.12855665198297,2024-09-30,64.0,61.0,-3.0,0.0,139954.32
2024-10-01,0.0,0.0,0.0,4,139954.32,34988.58,200.0,200.0,0,0.0,0.0,50.0,Neutral,0.0,2024-10-01,61.0,64.0,-11.0,0.0,99954.34
2024-10-02,0.0,0.0,0.0,4,99954.34,24988.585,200.0,200.0,0,0.0,0.0,42.0,Fear,0.0,2024-10-02,50.0,61.0,-8.0,100.375782,132935.69
2024-10-03,100.375782,11.152864666666666,20.273575382952355,9,132935.69,14770.632222222222,101.1754048198176,200.0,3,0.3333333333333333,11.152864666666666,37.0,Fear,4.718331554198286,2024-10-03,42.0,50.0,-5.0,0.0,0.34
2024-10-04,0.0,0.0,,1,0.34,0.34,0.001106166514258,0.001106166514258,0,0.0,0.0,41.0,Fear,,2024-10-04,37.0,42.0,4.0,5767.161892,605605.74
2024-10-05,5767.161892,155.86924032432432,217.0879728346648,37,605605.74,16367.722702702702,193.18355529031942,200.0,24,0.6486486486486487,155.86924032432432,49.0,Neutral,26.444199636685866,2024-10-05,41.0,37.0,8.0,130.487079,300130.56
2024-10-06,130.487079,5.9312308636363635,17.741123762831634,22,300130.56,13642.298181818182,193.7028322346623,200.0,5,0.22727272727272727,5.9312308636363635,50.0,Neutral,6.962606973376309,2024-10-06,49.0,41.0,1.0,0.0,219984.65
2024-10-07,0.0,0.0,0.0,21,219984.65,10475.459523809524,189.20145836132505,200.0,0,0.0,0.0,50.0,Neutral,0.0,2024-10-07,50.0,49.0,0.0,5396.546638,434584.13
